Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
Kivila tn 42,104000,2113.82,"Lasnamäe linnaosa, Tallinn, Harju maakond",49.2,2,9/9,1985,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-kivila-tn/2785520?i=33
Rotermanni tn 14,261600,6000,"Kesklinna linnaosa, Tallinn, Harju maakond",43.6,2,7/7,2017,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-rotermanni-tn/4179625?i=34
Rotermanni tn 14,251000,5796.77,"Kesklinna linnaosa, Tallinn, Harju maakond",43.3,2,6/7,2017,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-rotermanni-tn/4378217?i=35
Valge tn 18d,189000,3103.45,"Lasnamäe linnaosa, Tallinn, Harju maakond",60.9,2,2/5,2005,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-valge-tn/3576690?i=36
Liikuri tn 50,145000,2959.18,"Lasnamäe linnaosa, Tallinn, Harju maakond",49,2,3/9,1989,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-liikuri-tn/9307552?i=37
Tööstuse tn 87,135000,3000,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",45,2,5/5,1962,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-toostuse-tn/3581503?i=38
Astangu 21/2,140000,2372.88,"Haabersti linnaosa, Tallinn, Harju maakond",59,2,5/5,2006,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-astangu-212/3873351?i=39
Staadioni tn 4,225000,4446.64,"Kesklinna linnaosa, Tallinn, Harju maakond",50.6,2,5/7,2015,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-staadioni-tn/8937780?i=40
"Suur-Karja tn 12-16, Vanalinn",420000,5740.84,"Kesklinna linnaosa, Tallinn, Harju maakond",73.16,2,5/5,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-suur-karja-tn/5074461?i=41
Mustakivi tee 25,199000,2696.48,"Lasnamäe linnaosa, Tallinn, Harju maakond",73.8,3,10/12,2018,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mustakivi-tee/4159697?i=42
